timestamp,open,high,low,close,volume
1739658600,97482,97482,97466,97466,0.71982364
1739658660,97472,97543,97472,97543,0.96317104
1739658720,97572,97572,97572,97572,0.00070141
1739658780,97573,97573,97573,97573,0.20497568
1739658840,97573,97573,97573,97573,0.0
1739658900,97573,97573,97519,97519,0.06322322
1739658960,97519,97519,97489,97491,0.21804245
1739659020,97489,97519,97489,97513,0.00973342
1739659080,97513,97531,97510,97531,0.04692
1739659140,97537,97537,97502,97502,0.02983425
1739659200,97495,97495,97494,97494,0.13864569
1739659260,97473,97477,97470,97473,0.25878927
1739659320,97473,97479,97458,97459,0.6981335
1739659380,97459,97491,97459,97491,0.10189916
1739659440,97492,97512,97489,97489,0.2624136
1739659500,97459,97484,97459,97484,0.69777155
1739659560,97495,97532,97495,97532,0.2746957
1739659620,97532,97532,97532,97532,0.0
1739659680,97530,97530,97504,97504,0.03900371
1739659740,97503,97503,97484,97484,0.01494561
1739659800,97486,97540,97485,97540,0.03492798
1739659860,97539,97539,97525,97525,0.0048843
1739659920,97525,97548,97504,97521,0.04979606
1739659980,97540,97568,97521,97548,1.60985455
1739660040,97529,97529,97458,97502,0.17862298
1739660100,97507,97542,97507,97541,0.10438323
1739660160,97539,97539,97453,97478,0.08468783
1739660220,97476,97478,97456,97478,0.33010104
1739660280,97511,97579,97511,97542,0.03739951
1739660340,97542,97547,97541,97547,0.00606283
1739660400,97557,97557,97481,97481,0.46880618
1739660460,97478,97531,97478,97530,0.00433721
1739660520,97559,97562,97527,97528,0.33479728
1739660580,97521,97524,97475,97483,0.41970372
1739660640,97493,97496,97471,97494,0.04110356
1739660700,97491,97509,97471,97509,0.04961201
1739660760,97501,97501,97484,97484,0.0159669
1739660820,97494,97501,97485,97485,0.06180968
1739660880,97485,97485,97462,97463,0.01967544
1739660940,97481,97510,97481,97505,0.01579353
1739661000,97528,97528,97435,97435,2.33236085
1739661060,97475,97476,97475,97476,0.01288526
1739661120,97505,97505,97441,97444,0.12071118
1739661180,97445,97507,97445,97468,0.22386714
1739661240,97461,97470,97461,97462,0.00733957
1739661300,97459,97523,97459,97513,0.00654057
1739661360,97478,97478,97478,97478,0.00114
1739661420,97503,97540,97503,97539,0.02474555
1739661480,97507,97527,97507,97527,0.10271665
1739661540,97531,97534,97531,97534,0.05266793
1739661600,97548,97560,97530,97530,0.03538242
1739661660,97564,97581,97564,97581,0.00388684
1739661720,97579,97622,97579,97621,0.21746623
1739661780,97599,97622,97599,97621,0.01777426
1739661840,97621,97621,97607,97607,0.01869861
1739661900,97609,97611,97609,97611,0.02076415
1739661960,97615,97622,97615,97622,0.02240261
1739662020,97622,97622,97615,97615,0.04688342
